text,label
i join the forum for this fighting group i get on and introduce myself and everyone is telling me to go join a different group anyone but theirs and it totally made me feel completely unwelcome,0
i feel so violent when i see him with others mainly those girls who are gorgeous and stick insects,3
i express zooms on with all its faults and foibles and entertains non stop in a rather odd manner where you are left feeling rather inadequate that something is not fully right that something better could have been done with a little bit of application a little bit of better storytelling,0
im feeling kinda reluctant about it because i almost hate parting with it for what would prove to be a rather miniscule amount of money,4
im feeling kinda vain,0
i was feeling hesitant about posting my next section,4
i think the movie was done well and i feel like ron howard created a money maker that remained loyal to the book,2
i awaken feeling very shaken,4
i feel that the visit has been more successful than i had expected at the beginning,1
i feel blessed to be alive,2
i remember a great atmosphere of being happy feeling peaceful in the zone,1
i cannot let this feeling go any deeper because i know that i will be the one suffering,0
i think to moan im brought up short by feelings of how little i deserve to do so by the knowledge of how boring it is to hear someone complain,0
i was feeling quite miserable and the verse that really stood out to me was verse,0
i feel that there is not any relationship that is excluded here but for the sake of this vent im going to zoom in on romantic relationships,2
im feeling suspicious of every newbie i see,4
i feel like im hated,0
i feel how wronged i cannot bring myself to malevolent action,3
i may not have gotten laid nor did i even get to the first date stage but i feel like it was all worthwhile because i am now being honored with a welpie,1
i needed a good laugh or a hug when i was feeling lousy,0
i walked about for a long time feeling very strange and mortally apprehensive of some one coming in and kidnapping me for i believed in kidnappers their exploits having frequently figured in bessie s fireside chronicles,5
i am feeling pretty sentimental lately,0
i feel frantic when i,4
i cant say i blame him for feeling threatened by them,4
i shouldnt be doing this but im feeling a tad useless these days,0
i do have down time i feel restless because i am conditioned to always being doing something,4
i feel very privileged to be in a position where my job is one i love,1
i am feeling very thankful,1
i started feeling really cranky and gross,3
i hate being here and really hate that gabe isnt feeling so hot but i do love spending this time with him,2
i didn t realize i could feel more shocked than i already was,5
i seriously had a feeling like this person hated me and wanted to kill me,3
i feel that i bumble my way through my blog posts and am amazed that anyone reads them,5
i haven t fully found my way with it i must admit that it s all coming around and each time the next thing comes i feel really amazed with my vision because its different to have it in your head and very different to start seeing it manifest,5
i am feeling very impressed with myself,5
i was told you will feel the forehead with a gentle kiss that i give you ah,2
i feel like im constantly paranoid debbie said,4
i can see how a parent might feel hesitant to come in and share a talent especially with fifty sets of eyes on them,4
i can see why the bm would feel threatened,4
i still stand by my feeling that nightmare is burton s artistic peak,1
i think bird and deal put on their game faces for school but came home with different feelings and were in a safe place to vent ask questions and sigh,1
im feeling pretty agitated and tense,4
i was in my village when a bull jumped over a fence and started chasing my friends and me we were very frightened till we climbed up a tree,4
i feel such a need to be skeptical of this type of thing,4
i am sitting here beat and tired and feeling triumphant after a day of thinking planning designing painting calling emailing more planning more painting visiting praying praying praying,1
i feel my tender knee i am proud of the fact that i finished,2
i feel nostalgic reminiscent homesick and excited too,2
i feel quite overwhelmed and distraught i cant seem to do the things i ought,5
i feel like the fact that he was tortured in the vietnam war has no impact on how he will fix the economy,4
i feel pained for my friend s loss,0
i need socks that feel good on my feet when i run,1
im really loose feeling amazing so theres no excuses here,5
i feel like i might have taken some of my attitude out on him i was a little sarcastic and rude,3
i am feeling rather shocked as i did think it was safe and secure,5
i am feeling rather stunned by it like jane does in the beginning when she is hit hard and her ears ring and everything else is muted,5
i feel so emotionally damaged and cannot stop thinking about him still mostly stupid memories not understanding and how much of a dumb ass i am,0
i feel like it has been a tender mercy,2
i know its weird but i love it when my throat starts to feel funny like i am going to acquire a pharyngitis pero di naman natutuloy,5
i have the coolest mom but seriously i feel funny even blogging about that because everyone already knows it,5
i tried to maintain my focus in a whole on his artistic portfolio and began to evaluate my feelings and thoughts feeling more or less impressed with what i saw,5
i feel a little selfish this week because i kept the watermelon and the spelt bread,3
i was going for a slightly worn rustic feel im fond of that style if you havent noticed it would easily be used as a drawing pad since i used a nice heavyweight paper that takes ink and graphite really nicely but i intended this as a travelers journal,2
i will pay you the compliment falcon to say that i feel convinced that the masts of the a class keyword href http d,1
i feel blessed and privileged to have known you loved you and to know that you are and always will be my child,1
i feel like im just caught in this strange limbo where im not sure if im progressing in any particular direction,5
i would be surprised to learn if anyone there hadnt walked away feeling just that bit more inspired,1
i say about it i feels abit shy but thanks for the question,4
i feel what others feel when i love yet the beloved guides me to the cooling beauty of the moonlight glistening from the streams flowing through the garden,2
i was feeling lethargic and weak so i just laid down,0
i think everyone new to p is feeling a little anxious about this commitment right now,4
i probably should feel ashamed for how much pleasure i m getting out of this,0
i left that appointment feeling fairly frustrated,3
i had a hard time focusing on my life and walked around feeling dazed and confused,5
i feel as though it is almost my duty to create buzz about such a talented young individual,1
i didn t realize in georgia was how much looking passably georgian helped me to blend in and feel accepted,2
i was feeling pretty rotten so i didn t disagree,0
i wonder if homeschooling will slow me down or cause the pace to feel more pressured,4
i did not feel the strange feeling of the air thickening in the house,5
i think its for the better now i can look upon a table filled with food and select what i really want to eat what looks most appetizing and am able to leave the rest without feeling deprived,0
i feel since jers death in his brothers and people who knew and loved him came to the aid of vee and the kids,2
i am hearing the last few days the more i am feeling disillusioned as to not only individual s views but companies views on online businesses,0
i have two beautiful comment angels in stacie and candace who comment on practically everyone of my posts and i feel loved and appreciate their support,2
im nothing towards him made me feel so fucked up,3
im feeling generous today or you wouldnt have gotten that,2
i could feel my faith being shaken what more about others who are born muslim but don t feel strongly for god,4
i feel really uncertain,4
im so entirely deeply tired of feeling threatened and bullied,4
i was feeling quite smug and pleased with my story,1
i feel irritable like no other and running will def cure that,3
i feel hurt frustrated or angry i want to do something with it which is always a bad idea,0
i feel as though gramp is an affectionate term that would be bestowed upon someone who is not only involved in a childs life but is a person deserving of the name,2
i hate how i feel like this is my fault that i took the most amazing thing that ever happened in my life and turned it sour,5
i need to feel you near curious if you ll be mine,5
i feel dazed sick and weak,5
i just hope its sooner rather than later and i hope she is polite even when shes feeling shy i am starting to get a little sad about aubrey starting school,4
im starting to feel hopeful again,1
i began to feel very strange,4
i was feeling the intensity of this bustle last week and was surprised when a poem i had not thought of for years flashed into my mind,5
