text,label
i feel really helpless,4
i feel wronged by them,3
i feel like i can do so much with you supporting me,2
i have a significant debt for money i borrowed and used to go to university as a mature student i am feeling particularly greedy,3
i feel xs more indecisive,4
id been noticing it in others people and feeling smugly superior obviously i m not doing it because i know about it,1
i wanted to post that picture because its that kind of scenery in my room that makes me feel so ashamed and awful,0
i feel very weird that i m about to kind of side with them,5
i do a free give away this month i am feeling generous and have decided to do free give a ways really neat things ladies,1
i love to watch the excitement on their faces when im twisting them a hat animal sword or if im feeling really generous all three,2
i feel as though there is less trash that i take out so that is one thing i have been successful at keeping up,1
i am not the only feeling a bit shocked,5
im feeling generous ill actually converse with him,2
i kinda wish i was feeling more artistic lately,1
i could perhaps try harder to get review copies sent but i feel very inhibited about soliciting copies from publishers,4
i would get to say yes all the time and not feel like a hindrance to all the amazing people i work alongside,5
i really feel like i need a second viewing of the movie all on my own so that i can feel my own feelings and not get distracted by raucous squeals and loud honks,3
i did more than i was requested in the trial lesson but do not want to go away feeling angry and cheated at having to teach more hours than requested,3
i was still feeling good at mile and i had picked up the pace by about a minute this time around,1
i feel it is not a talented precisely i need a tiger the tiger is a dance from the tiger,1
i put these to one side and focus on the following version of the shameful revelations allegation even in an ideal egalitarian society having to reveal to the state that one is untalented would cause citizens to feel ashamed,0
i sit down and i think gosh my summer cold has gone i think but i feel absolutely completely exhausted and i cant breathe very well love e x twitter doesnotdoit,0
ive been feeling some very strong headaches some dizziness and blurred vision,1
i reach for your hand feel its warmth sense a strange mysterious connection the greater sea of lives intimately shared and buoyed by a wave of love hope and joy surrender to its greater transcendent surge letting it take me wherever it will,5
i have a little man named giles that cannot be brought on planes and i would feel heartless if i abandoned him on the holidays,3
i feel that vogels view makes us feel less sympathetic toward lil bit and less condemning of uncle peck,2
i feel stressed this week,3
i feel like i have gone backwards steps and i am now feeling terrified of having schizophrenia or something i am scared i am heading for a breakdown or something i know i am not the only one with problems but im not sure how much more i can cope with,4
i can t say i feel very sympathetic for people who contract mad cow,2
im feeling today i just read my buddy salinas post and was completely amazed at all his philosopher references so i will say i am remembering a certain philosophy professor i had in a greek mythology class that always liked to say say what you feel not what you think,5
i feel content with my life i mean i am very grateful for all the things i have now,1
i feel the atmosphere is incredibly supportive,2
i thank you all so much for your support whilst i didnt get into the top blogs i still feel very honoured to have been listed amongst some of the most influential voices on the blogosphere,1
